,SignalID,Detector
0,2103,1
1,2103,2
2,2103,3
3,2103,4
4,2103,5
5,2103,6
6,2103,7
7,2103,9
8,2103,10
9,2103,11
10,2103,12
11,2103,13
12,2103,14
13,2103,15
14,2103,16
15,2107,1
16,2107,2
17,2107,3
18,2107,4
19,2107,5
20,2107,6
21,2107,7
22,2107,8
23,2107,9
24,2107,10
25,2107,11
26,2107,12
27,2107,13
28,2107,14
29,2107,15
30,2107,16
31,2107,17
32,2107,18
33,2107,19
34,2107,20
35,2108,1
36,2108,2
37,2108,3
38,2108,4
39,2108,5
40,2108,6
41,2108,7
42,2108,8
43,2108,9
44,2108,10
45,2108,11
46,2108,12
47,2108,13
48,2108,14
49,2108,15
50,2108,16
51,2109,1
52,2109,2
53,2109,3
54,2109,4
55,2109,5
56,2109,6
57,2109,7
58,2109,8
59,2109,9
60,2109,10
61,2109,11
62,2109,12
63,2109,13
64,2109,14
65,2109,15
66,2109,16
67,2111,1
68,2111,2
69,2111,3
70,2111,4
71,2111,5
72,2111,6
73,2111,7
74,2111,8
75,2111,9
76,2111,10
77,2111,11
78,2111,12
79,2111,13
80,2111,14
81,2111,15
82,2111,16
83,2111,17
84,2111,18
85,2111,19
86,2111,20
87,2111,21
88,2111,22
89,2111,23
90,2111,24
91,2114,1
92,2114,2
93,2114,3
94,2114,4
95,2114,5
96,2114,6
97,2114,7
98,2114,8
99,2114,9
100,2114,10
101,2114,11
102,2114,12
103,2114,13
104,2114,14
105,2114,15
106,2114,16
107,2123,1
108,2123,2
109,2123,5
110,2123,6
111,2123,7
112,2123,8
113,2123,9
114,2123,10
115,2125,1
116,2125,2
117,2125,3
118,2125,4
119,2125,5
120,2125,6
121,2125,7
122,2125,8
123,2125,9
124,2125,10
125,2125,11
126,2125,12
127,2125,13
128,2125,14
129,2125,15
130,2125,16
131,2128,1
132,2128,2
133,2128,3
134,2128,4
135,2128,5
136,2128,6
137,2128,7
138,2128,8
139,2128,9
140,2128,10
141,2128,11
142,2128,12
143,2128,13
144,2128,14
145,2128,15
146,2128,16
147,2129,1
148,2129,2
149,2129,3
150,2129,4
151,2129,5
152,2129,6
153,2129,7
154,2129,8
155,2129,9
156,2129,10
157,2129,11
158,2129,12
159,2129,13
160,2129,14
161,2129,15
162,2129,16
163,2140,1
164,2140,2
165,2140,3
166,2140,4
167,2140,5
168,2140,6
169,2140,7
170,2140,8
171,2140,9
172,2140,10
173,2140,11
174,2146,1
175,2146,2
176,2146,3
177,2146,5
178,2146,6
179,2146,7
180,2146,8
181,2146,9
182,2146,10
183,2146,11
184,2146,12
185,2146,13
186,2146,14
187,2146,15
188,2146,16
189,2161,1
190,2161,2
191,2161,4
192,2161,5
193,2161,6
194,2161,9
195,2161,11
196,2161,13
197,2161,15
198,2169,2
199,2169,3
200,2169,4
201,2169,5
202,2169,6
203,2169,7
204,2169,9
205,2169,10
206,2169,11
207,2169,12
208,2169,13
209,2169,14
210,2169,15
211,2169,16
212,2187,1
213,2187,2
214,2187,5
215,2187,6
216,2187,7
217,2187,8
218,2187,9
219,2187,10
220,2187,11
221,2187,12
222,2187,13
223,2187,14
224,2187,15
225,2187,16
226,30302,1
227,30302,2
228,30302,3
229,30302,4
230,30302,5
231,30302,6
232,30302,7
233,30302,8
234,30302,9
235,30302,10
236,30302,11
237,30302,17
238,30302,18
239,30302,19
240,30302,20
241,30302,21
242,30302,22
243,30302,23
244,30302,25
245,30302,26
246,30302,27
247,30302,28
248,30302,29
249,30302,31
250,30302,32
251,30302,33
252,30302,34
253,30302,35
254,30302,36
255,30302,37
256,30302,39
257,30302,40
258,30302,41
259,30302,42
260,30302,43
261,30302,44
262,30302,45
263,30302,49
264,30302,50
265,30302,51
266,30302,52
267,30313,1
268,30313,2
269,30313,3
270,30313,4
271,30313,5
272,30313,6
273,30313,7
274,30313,8
275,30313,9
276,30313,10
277,30313,11
278,30313,12
279,30313,17
280,30313,18
281,30313,19
282,30313,20
283,30313,21
284,30313,22
285,30313,23
286,30313,25
287,30313,26
288,30313,27
289,30313,29
290,30313,30
291,30313,31
292,30313,32
293,30313,33
294,30313,34
295,30313,35
296,30313,37
297,30313,38
298,30313,39
299,30313,40
300,30313,41
301,30313,42
302,30313,43
303,30313,49
304,30313,50
305,30313,51
306,30313,52
307,30320,1
308,30320,2
309,30320,3
310,30320,4
311,30320,5
312,30320,6
313,30321,1
314,30321,2
315,30321,3
316,30321,4
317,30321,5
318,30321,6
319,30321,7
320,30321,8
321,30321,17
322,30321,18
323,30321,19
324,30321,20
325,30321,21
326,30321,22
327,30321,23
328,30321,25
329,30321,26
330,30321,27
331,30321,29
332,30321,30
333,30321,31
334,30321,32
335,30321,33
336,30321,34
337,30321,49
338,30321,50
339,30321,51
340,30321,52
341,68804,1
342,68804,2
343,68804,3
344,68804,4
345,68804,5
346,68804,6
347,7204,1
348,7204,2
349,7204,3
350,7204,4
351,7204,5
352,7204,6
353,7204,7
354,7204,8
355,7206,2
356,7206,4
357,7206,6
358,7206,8
359,7212,1
360,7212,2
361,7212,3
362,7212,4
363,7212,5
364,7212,6
365,7213,1
366,7213,2
367,7213,3
368,7213,4
369,7213,5
370,7213,6
371,7213,7
372,7213,8
373,7219,1
374,7219,2
375,7219,3
376,7219,4
377,7219,5
378,7219,6
379,7219,7
380,7219,8
381,7225,1
382,7225,2
383,7225,4
384,7225,6
385,7225,8
386,7230,2
387,7230,4
388,7230,5
389,7230,6
390,7230,8
15,2103,17
197,2169,1
226,2190,2
227,2190,4
228,2190,5
229,2190,6
273,30320,8
37,2118,5
93,2118,2
137,68807,3
141,2118,3
186,68807,6
199,2118,6
244,68807,1
292,68807,4
325,2118,1
341,68807,5
400,68807,2
401,2118,4
99,2123,3
338,2123,4
237,30302,12
238,30302,13
239,30302,14
240,30302,15
241,30302,16
249,30302,24
255,30302,30
263,30302,38
271,30302,46
272,30302,47
273,30302,48
328,30321,9
329,30321,10
330,30321,11
331,30321,12
332,30321,13
333,30321,14
334,30321,15
335,30321,16
343,30321,24
347,30321,28
354,30321,35
355,30321,36
356,30321,37
357,30321,38
358,30321,39
359,30321,40
360,30321,41
361,30321,42
362,30321,43
363,30321,44
364,30321,45
365,30321,46
366,30321,47
367,30321,48
372,30321,53
373,30321,54
374,30321,55
375,30321,56
376,30321,57
377,30321,58
378,30321,59
379,30321,60
380,30321,61
381,30321,62
382,30321,63
383,30321,64
